estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Sargentes de la Lora,1017,0.0,0.0,42.747,-3.884,6.0
Briviesca,730,0.0,0.0,42.559,-3.309,10.0
Monterrubio de la Demanda,1197,0.1,0.0,42.146,-3.11,10.0
Palacios de la Sierra,1080,0.1,0.0,41.96,-3.132,10.0
Santa Gadea de Alfoz,915,0.1,0.0,42.951,-3.957,10.0
Burgos Aeropuerto,891,0.2,0.0,42.357,-3.62,10.0
Belorado,820,0.3,0.0,42.421,-3.17,9.0
Medina de Pomar,580,0.3,0.0,42.92,-3.483,10.0
Miranda de Ebro,460,0.5,0.0,42.687,-2.961,10.0
Aranda de Duero,790,0.9,0.0,41.666,-3.743,10.0
Pedrosa del Príncipe,771,1.0,0.0,42.251,-4.199,10.0
Villadiego,869,1.1,0.0,42.524,-4.001,8.0
Villamayor de los Montes,884,2.1,0.2,42.105,-3.768,10.0
Coruña del Conde,955,5.2,0.0,41.746,-3.382,10.0
