estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Utiel,758,0.9,0.0,39.576,-1.245,10.0
Ademuz,705,1.3,0.0,40.061,-1.284,10.0
Fontanars Dels Alforins,622,4.5,0.0,38.78,-0.796,10.0
Chelva,515,13.2,0.0,39.753,-0.994,10.0
Jalance,372,14.1,0.0,39.208,-1.094,10.0
Turís,186,17.9,0.0,39.392,-0.625,10.0
Bicorp,305,23.7,0.0,39.134,-0.79,10.0
Llíria,198,24.4,0.2,39.664,-0.654,10.0
Zarra,856,25.4,1.6,39.083,-1.101,9.0
Barx,340,26.7,0.1,39.017,-0.305,10.0
Ontinyent,350,31.6,0.0,38.829,-0.608,10.0
Oliva,1,39.8,2.5,38.904,-0.065,6.0
Carcaixent,25,44.8,1.0,39.113,-0.446,10.0
Sagunt/Sagunto,24,45.4,2.1,39.701,-0.259,10.0
Polinyà de Xúquer,11,51.7,0.9,39.184,-0.371,10.0
Xàtiva,88,53.0,1.1,39.002,-0.523,10.0
Valencia Aeropuerto,56,61.9,4.6,39.485,-0.475,10.0
"Valencia, Upv",6,63.7,2.8,39.479,-0.337,9.0
València,13,70.9,8.8,39.481,-0.366,10.0
"València, Viveros",13,72.8,7.4,39.481,-0.366,9.0
Miramar,12,74.0,10.4,38.95,-0.138,10.0
