estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"Aller, Felechosa",750,0.0,0.0,43.095,-5.477,10.0
Pola de Somiedo,670,0.0,0.0,43.1,-6.257,10.0
"Salas, Camuño",240,0.0,0.0,43.425,-6.231,10.0
Asturias Aeropuerto,127,0.0,0.0,43.567,-6.044,10.0
Puerto de Leitariegos,1530,0.1,0.0,42.994,-6.414,10.0
Cabrales,458,0.1,0.0,43.311,-4.853,10.0
"Taramundi, Ouria",340,0.1,0.0,43.416,-7.061,9.0
"Piloña, Bargaéu",280,0.1,0.0,43.378,-5.397,10.0
Pajares-Valgrande,1480,0.2,0.0,42.979,-5.776,10.0
"Lena, Ronzón",370,0.2,0.0,43.133,-5.823,10.0
Degaña,1310,0.3,0.0,42.955,-6.473,10.0
"Villayón, Oneta",410,0.3,0.0,43.466,-6.673,10.0
"Amieva, Panizales",370,0.3,0.0,43.267,-5.119,10.0
Oviedo,336,0.3,0.0,43.353,-5.874,6.0
Castropol,40,0.5,0.0,43.525,-7.031,10.0
Oviedo,334,0.6,0.0,43.353,-5.874,10.0
Cabo Busto,60,0.7,0.0,43.569,-6.47,10.0
"Ibias, San Antolin",780,0.8,0.0,43.027,-6.885,10.0
"Tineo, Soutu",280,0.8,0.0,43.29,-6.387,10.0
"Sotres, Parque Nacional Picos de Europa",1236,1.0,0.2,43.238,-4.737,5.0
Colunga,30,1.0,0.0,43.492,-5.247,9.0
Cabo Peñas,100,1.1,0.0,43.656,-5.849,9.0
"Mieres, Baiña",170,1.4,0.0,43.275,-5.819,10.0
"Gijón, Campus",26,1.8,0.0,43.523,-5.621,10.0
Llanes,10,3.0,0.0,43.42,-4.748,10.0
"Gijón, Puerto",5,8.7,0.0,43.56,-5.701,10.0
