estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Cazalla de la Sierra,550,4.2,0.0,37.926,-5.77,10.0
La Puebla de los Infantes,200,6.6,0.0,37.787,-5.371,10.0
Carrión de los Céspedes,76,14.7,0.1,37.36,-6.334,10.0
La Roda de Andalucía,410,23.2,0.3,37.194,-4.77,10.0
Guadalcanal,720,27.4,1.0,38.099,-5.819,10.0
Almadén de la Plata,450,29.9,1.2,37.791,-6.075,10.0
Carmona,50,33.2,0.6,37.566,-5.741,10.0
Las Cabezas de San Juan,105,36.5,0.8,36.953,-5.847,10.0
"Tomares, Zaudín",84,37.0,0.9,37.362,-6.06,8.0
Écija,130,37.8,1.0,37.516,-5.085,10.0
Morón de la Frontera,87,38.9,0.8,37.164,-5.611,10.0
"Sevilla, Tablada",9,43.8,1.4,37.364,-6.006,10.0
Fuentes de Andalucía,165,45.1,2.3,37.497,-5.433,10.0
Lora de Estepa,450,46.3,6.0,37.27,-4.827,10.0
Sevilla Aeropuerto,34,47.3,1.6,37.417,-5.879,10.0
Osuna,255,63.9,15.9,37.243,-5.112,10.0
