estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Lugo,442,0.0,0.0,42.998,-7.553,9.0
Lugo Aeropuerto,442,0.0,0.0,43.111,-7.458,9.0
O Páramo,403,0.0,0.0,42.845,-7.499,9.0
Monforte de Lemos,291,0.0,0.0,42.532,-7.511,9.0
Mondoñedo,125,0.0,0.0,43.431,-7.362,9.0
Folgoso do Courel,612,0.3,0.1,42.589,-7.192,9.0
Ribadeo,43,0.4,0.0,43.541,-7.083,9.0
Burela,80,0.9,0.0,43.651,-7.357,9.0
Monterroso,680,1.1,0.0,42.81,-7.768,9.0
Cervantes,1020,2.6,0.0,42.769,-7.018,9.0
Becerreá,1080,2.7,0.0,42.864,-7.185,9.0
