estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Nerpio,1485,0.3,0.0,38.088,-2.413,10.0
Almansa,710,2.6,0.0,38.851,-1.063,10.0
Munera,918,2.8,0.0,39.017,-2.489,10.0
Chinchilla,880,7.0,0.1,38.938,-1.659,7.0
Yeste,960,11.4,0.4,38.295,-2.294,10.0
Villarrobledo,718,12.7,0.0,39.262,-2.593,10.0
Ossa de Montiel,905,13.4,0.0,38.966,-2.745,10.0
Albacete Base Aérea,702,13.4,0.1,38.954,-1.856,10.0
"Yeste, Embalse Fuensanta",680,16.0,0.2,38.393,-2.219,10.0
Tobarra,615,24.8,0.3,38.588,-1.689,10.0
Albacete,674,25.2,0.5,39.006,-1.862,10.0
Hellín,605,27.4,0.3,38.542,-1.703,10.0
